Family	Class
AAQ16273	Glycopeptide Resistance
AAQ16274	Glycopeptide Resistance
AAQ21216	RND Antibiotic Efflux
AAQ63644	Chloramphenicol Acetyltransferase CAT
AAQ92181	RND Antibiotic Efflux
AAR96043	Tetracycline Efflux
AAT90846	Class B Beta-Lactamase
AAT90847	Class B Beta-Lactamase
AAV74570	Glycopeptide Resistance
AAW30456	ABC Antibiotic Efflux
AAW66497	Tetracycline Efflux
AAX76774	Class B Beta-Lactamase
AAY21388	MFS Antibiotic Efflux
AAY52007	Glycopeptide Resistance
AAY52010	Glycopeptide Resistance
AAZ98836	Glycopeptide Resistance
AAZ98839	Glycopeptide Resistance
AAZ98840	Glycopeptide Resistance
ABA71729	Glycopeptide Resistance
ABB71176	Antibiotic Target
ABB99435	Class D Beta-Lactamase
ABCAntibioticEffluxPump_0	ABC Antibiotic Efflux
ABCAntibioticEffluxPump_10	ABC Antibiotic Efflux
ABCAntibioticEffluxPump_9	ABC Antibiotic Efflux
ABF69686	Tetracycline Ribosomal Protection
ABG36114	Tetracycline Ribosomal Protection
ABN80187	Tetracycline Ribosomal Protection
ABO42050	Aminoglycoside Nucleotidyltransferase
ABP68837	Quinolone Resistance
ABQ42698	Class C Beta-Lactamase
ABX00596	ABC Antibiotic Efflux
ABX79417	Glycopeptide Resistance
ABX79421	Glycopeptide Resistance
ACI02941	Tetracycline Inactivation
ACL82961	Glycopeptide Resistance
ACM47285	Glycopeptide Resistance
ANT3_1	Aminoglycoside Nucleotidyltransferase
ANT4_1	Aminoglycoside Nucleotidyltransferase
ANT6_0	Aminoglycoside Nucleotidyltransferase
ANT6_1	Aminoglycoside Nucleotidyltransferase
APH6_5	Aminoglycoside Phosphotransferase
BAA02563	Class C Beta-Lactamase
BAA02945	Other ARG
BAA07390	Tetracycline Efflux
BAA07922	Class C Beta-Lactamase
BAA31456	MATE Antibiotic Efflux
BAA34300	RND Antibiotic Efflux
BAA34540	Macrolide Resistance
BAB20748	rRNA Methyltransferase
BAB59035	Tetracycline Efflux
BAB71966	Tetracycline Efflux
BAC67147	Tetracycline Efflux
BAC77251	RND Antibiotic Efflux
BAC77725	Tetracycline Inactivation
BAE96116	Glycopeptide Resistance
BAF47404	Class B Beta-Lactamase
BAF91108	Class B Beta-Lactamase
BJP_1	Class B Beta-Lactamase
CAA26199	Aminoglycoside Nucleotidyltransferase
CAA28209	Aminoglycoside Nucleotidyltransferase
CAA30357	Antibiotic Target
CAA36304	ABC Antibiotic Efflux
CAA37699	Class D Beta-Lactamase
CAA39038	Aminoglycoside Acetyltransferase
CAA45050	ABC Antibiotic Efflux
CAA55770	rRNA Methyltransferase
CAA66307	rRNA Methyltransferase
CAA70425	Antibiotic Target
CAA71441	Class B Beta-Lactamase
CAA76069	Tetracycline Efflux
CAA78046	Chloramphenicol MFS Efflux Pump
CAA83855	Other ARG
CAA90431	Other ARG
CAB61645	Class A Beta-Lactamase
CAB75346	Class B Beta-Lactamase
CAC14594	RND Antibiotic Efflux
CAC14595	RND Antibiotic Efflux
CAC17625	Class C Beta-Lactamase
CAC35724	RND Antibiotic Efflux
CAC80727	Tetracycline Efflux
CAC81324	Antibiotic Target
CAD55718	Tetracycline Ribosomal Protection
CAD61201	Class B Beta-Lactamase
CAD70268	Chloramphenicol MFS Efflux Pump
CAE48334	Class B Beta-Lactamase
CAE53424	Antibiotic Target
CAF05908	Class B Beta-Lactamase
CAG27847	Antibiotic Target
CAG34233	Antibiotic Target
CAG34266	RND Antibiotic Efflux
CAG34706	Aminoglycoside Acetyltransferase
CAG34724	Aminoglycoside Phosphotransferase
CAH58703	Aminoglycoside Acetyltransferase
CAH94334	Aminoglycoside Phosphotransferase
CAI99385	Antibiotic Target
CAJ77046	Chloramphenicol MFS Efflux Pump
CAJ88549	Tetracycline Ribosomal Protection
CAJ93947	Other ARG
CAL18627	RND Antibiotic Efflux
CAL48457	Antibiotic Target
CAM12479	Tetracycline Efflux
CAM98046	Antibiotic Target
CAQ42480	Class A Beta-Lactamase
CAQ42481	Class A Beta-Lactamase
CAZ48647	Class B Beta-Lactamase
CMY-LAT-MOX-ACT-MIR-FOX_27	Class C Beta-Lactamase
CTXM_83	Class A Beta-Lactamase
CepA_3	RND Antibiotic Efflux
Cfr23RibosomalRNAMethyltransferase_0	rRNA Methyltransferase
Cfr23RibosomalRNAMethyltransferase_1	rRNA Methyltransferase
Cfr23RibosomalRNAMethyltransferase_2	rRNA Methyltransferase
Cfr23RibosomalRNAMethyltransferase_3	rRNA Methyltransferase
CfxA_11	Class A Beta-Lactamase
Chloramphenicol_Acetyltransferase_CAT_3	Chloramphenicol Acetyltransferase CAT
Chloramphenicol_Acetyltransferase_CAT_7	Chloramphenicol Acetyltransferase CAT
Chloramphenicol_Acetyltransferase_CAT_8	Chloramphenicol Acetyltransferase CAT
Chloramphenicol_Acetyltransferase_CAT_9	Chloramphenicol Acetyltransferase CAT
Chloramphenicol_Phosphotransferase_CPT_0	Chloramphenicol Phosphotransferase CPT
Chloramphenicol_Phosphotransferase_CPT_2	Chloramphenicol Phosphotransferase CPT
Chloramphenicol_Phosphotransferase_CPT_3	Chloramphenicol Phosphotransferase CPT
Chloramphenicol_Phosphotransferase_CPT_4	Chloramphenicol Phosphotransferase CPT
Chloramphenicol_Phosphotransferase_CPT_5	Chloramphenicol Phosphotransferase CPT
Chloramphenicol_Phosphotransferase_CPT_6	Chloramphenicol Phosphotransferase CPT
Chloramphenicol_Phosphotransferase_CPT_7	Chloramphenicol Phosphotransferase CPT
ClassA_335	Class A Beta-Lactamase
ClassC-AmpC_10	Class C Beta-Lactamase
ClassC-AmpC_102	Class C Beta-Lactamase
ClassC-AmpC_104	Class C Beta-Lactamase
ClassC-AmpC_107	Class C Beta-Lactamase
ClassC-AmpC_111	Class C Beta-Lactamase
ClassC-AmpC_112	Class C Beta-Lactamase
ClassC-AmpC_117	Class C Beta-Lactamase
ClassC-AmpC_118	Class C Beta-Lactamase
ClassC-AmpC_85	Class C Beta-Lactamase
ClassC-AmpC_86	Class C Beta-Lactamase
ClassC-AmpC_87	Class C Beta-Lactamase
ClassC-AmpC_88	Class C Beta-Lactamase
ClassC-AmpC_89	Class C Beta-Lactamase
ClassC-AmpC_90	Class C Beta-Lactamase
ClassC-AmpC_92	Class C Beta-Lactamase
ClassC-AmpC_93	Class C Beta-Lactamase
ClassC-AmpC_95	Class C Beta-Lactamase
ClassC-AmpC_96	Class C Beta-Lactamase
ClassD_1	Class D Beta-Lactamase
ClassD_111	Class D Beta-Lactamase
ClassD_132	Class D Beta-Lactamase
ClassD_134	Class D Beta-Lactamase
ClassD_20	Class D Beta-Lactamase
ClassD_22	Class D Beta-Lactamase
ClassD_33	Class D Beta-Lactamase
ClassD_34	Class D Beta-Lactamase
ClassD_36	Class D Beta-Lactamase
ClassD_37	Class D Beta-Lactamase
ClassD_41	Class D Beta-Lactamase
ClassD_51	Class D Beta-Lactamase
ClassD_7	Class D Beta-Lactamase
ClassD_78	Class D Beta-Lactamase
ClassD_8	Class D Beta-Lactamase
ClassD_9	Class D Beta-Lactamase
DHA_0	Class C Beta-Lactamase
DIM-GIM-SIM_0	Class B Beta-Lactamase
DIM-GIM-SIM_10	Class B Beta-Lactamase
DIM-GIM-SIM_11	Class B Beta-Lactamase
DIM-GIM-SIM_12	Class B Beta-Lactamase
DIM-GIM-SIM_13	Class B Beta-Lactamase
DIM-GIM-SIM_3	Class B Beta-Lactamase
DIM-GIM-SIM_4	Class B Beta-Lactamase
DIM-GIM-SIM_5	Class B Beta-Lactamase
DIM-GIM-SIM_6	Class B Beta-Lactamase
DIM-GIM-SIM_8	Class B Beta-Lactamase
DIM-GIM-SIM_9	Class B Beta-Lactamase
EAS48788	Other ARG
EDJ91555	Antibiotic Target
EDK74221	MFS Antibiotic Efflux
EEQ96502	Other ARG
Erm23SRibosomalRNAMethyltransferase_0	rRNA Methyltransferase
Erm23SRibosomalRNAMethyltransferase_1	rRNA Methyltransferase
Erm23SRibosomalRNAMethyltransferase_10	rRNA Methyltransferase
Erm23SRibosomalRNAMethyltransferase_16	rRNA Methyltransferase
Erm23SRibosomalRNAMethyltransferase_22	rRNA Methyltransferase
Erm23SRibosomalRNAMethyltransferase_6	rRNA Methyltransferase
Erm23SRibosomalRNAMethyltransferase_7	rRNA Methyltransferase
Erm38_0	rRNA Methyltransferase
FluoroquinoloneResistantDNATopoisomerase_0	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_1	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_10	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_14	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_15	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_16	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_17	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_18	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_19	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_2	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_28	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_3	Quinolone Resistance
FluoroquinoloneResistantDNATopoisomerase_32	Quinolone Resistance
GOB_1	Class B Beta-Lactamase
GOB_13	Class B Beta-Lactamase
GOB_16	Class B Beta-Lactamase
GOB_19	Class B Beta-Lactamase
GOB_2	Class B Beta-Lactamase
GOB_3	Class B Beta-Lactamase
GOB_8	Class B Beta-Lactamase
GOB_9	Class B Beta-Lactamase
IND_0	Class B Beta-Lactamase
IND_2	Class B Beta-Lactamase
IND_5	Class B Beta-Lactamase
L1_43	Class B Beta-Lactamase
L1_56	Class B Beta-Lactamase
LRA_0	Class B Beta-Lactamase
LRA_2	Class B Beta-Lactamase
MFSAntibioticEffluxPump_12	MFS Antibiotic Efflux
MFSAntibioticEffluxPump_17	MFS Antibiotic Efflux
MFSAntibioticEffluxPump_9	MFS Antibiotic Efflux
MacrolideGlycosyltransfer_0	Macrolide Resistance
MacrolideGlycosyltransfer_1	Macrolide Resistance
NP_040465	Tetracycline Efflux
NP_052148	Aminoglycoside Phosphotransferase
NP_052571	Tetracycline Efflux
NP_052694	Chloramphenicol Acetyltransferase CAT
NP_052903	Chloramphenicol Acetyltransferase CAT
NP_115321	Quinolone Resistance
NP_214776	Aminoglycoside Acetyltransferase
NP_217878	Quinolone Resistance
NP_232696	Chloramphenicol Acetyltransferase CAT
NP_240031	Antibiotic Target
NP_242644	Other ARG
NP_249117	RND Antibiotic Efflux
NP_249118	RND Antibiotic Efflux
NP_249397	Chloramphenicol Acetyltransferase CAT
NP_250709	RND Antibiotic Efflux
NP_251183	RND Antibiotic Efflux
NP_252799	Class C Beta-Lactamase
NP_252895	RND Antibiotic Efflux
NP_252896	RND Antibiotic Efflux
NP_252897	RND Antibiotic Efflux
NP_253065	RND Antibiotic Efflux
NP_253287	RND Antibiotic Efflux
NP_253288	RND Antibiotic Efflux
NP_268322	MFS Antibiotic Efflux
NP_344871	Antibiotic Target
NP_347599	Other ARG
NP_348075	Tetracycline Efflux
NP_355927	Chloramphenicol Acetyltransferase CAT
NP_356448	Tetracycline Efflux
NP_370558	Glycopeptide Resistance
NP_370559	Aminoglycoside Nucleotidyltransferase
NP_370576	rRNA Methyltransferase
NP_370577	Aminoglycoside Nucleotidyltransferase
NP_371207	Other ARG
NP_371219	Gene Modulating Antibiotic Efflux
NP_372857	Other ARG
NP_388149	ABC Antibiotic Efflux
NP_389192	SMR Antibiotic Efflux
NP_389193	SMR Antibiotic Efflux
NP_389667	Other ARG
NP_390281	MFS Antibiotic Efflux
NP_390536	MFS Antibiotic Efflux
NP_390993	Other ARG
NP_391957	Tetracycline Efflux
NP_414593	rRNA Methyltransferase
NP_414995	RND Antibiotic Efflux
NP_416758	Other ARG
NP_417970	RND Antibiotic Efflux
NP_418166	MFS Antibiotic Efflux
NP_418504	RND Antibiotic Efflux
NP_418505	RND Antibiotic Efflux
NP_460867	Antibiotic Target
NP_465227	Other ARG
NP_478145	Aminoglycoside Phosphotransferase
NP_511223	Class D Beta-Lactamase
NP_518822	Other ARG
NP_598114	RND Antibiotic Efflux
NP_733568	MFS Antibiotic Efflux
NP_745006	Other ARG
NP_752857	MFS Antibiotic Efflux
NP_755678	Other ARG
NP_764021	Gene Modulating Antibiotic Efflux
NP_775043	Antibiotic Target
NP_783842	Streptogramin Resistance
NP_826974	MFS Antibiotic Efflux
NP_832233	Class A Beta-Lactamase
NP_840140	Other ARG
NP_846348	Other ARG
NP_862236	Chloramphenicol MFS Efflux Pump
NP_878013	Glycopeptide Resistance
NP_878015	Glycopeptide Resistance
NP_878016	Glycopeptide Resistance
NP_878017	Glycopeptide Resistance
NP_878019	Glycopeptide Resistance
NP_878023	Class A Beta-Lactamase
NP_880590	Other ARG
NP_927955	rRNA Methyltransferase
NP_931173	Other ARG
NP_932197	Other ARG
NP_934523	MATE Antibiotic Efflux
NP_976271	Aminoglycoside Nucleotidyltransferase
O87866	SMR Antibiotic Efflux
P00384	Antibiotic Target
P00484	Chloramphenicol Acetyltransferase CAT
P00487	Chloramphenicol Acetyltransferase CAT
P00553	Aminoglycoside Phosphotransferase
P00555	Aminoglycoside Phosphotransferase
P00808	Class A Beta-Lactamase
P05789	Macrolide Resistance
P06571	rRNA Methyltransferase
P07641	Chloramphenicol Acetyltransferase CAT
P07944	Antibiotic Target
P08457	Other ARG
P08988	Aminoglycoside Acetyltransferase
P09885	Aminoglycoside Phosphotransferase
P09891	rRNA Methyltransferase
P09979	Aminoglycoside Phosphotransferase
P10051	Aminoglycoside Acetyltransferase
P10337	rRNA Methyltransferase
P11504	Chloramphenicol Acetyltransferase CAT
P12056	Chloramphenicol MFS Efflux Pump
P13079	rRNA Methyltransferase
P13246	Aminoglycoside Acetyltransferase
P13249	Puromycin Resistance
P14171	Class A Beta-Lactamase
P14508	Aminoglycoside Phosphotransferase
P14509	Aminoglycoside Phosphotransferase
P14559	Class A Beta-Lactamase
P18150	Aminoglycoside Phosphotransferase
P18622	Aminoglycoside Phosphotransferase
P18644	rRNA Methyltransferase
P20074	Chloramphenicol Acetyltransferase CAT
P22390	Class A Beta-Lactamase
P22391	Class A Beta-Lactamase
P22616	Chloramphenicol Acetyltransferase CAT
P23181	Aminoglycoside Acetyltransferase
P25256	ABC Antibiotic Efflux
P26825	Chloramphenicol Acetyltransferase CAT
P26839	Streptogramin Resistance
P28585	Class A Beta-Lactamase
P29753	Glycopeptide Resistance
P29808	Aminoglycoside Acetyltransferase
P29810	Aminoglycoside Acetyltransferase
P30180	Aminoglycoside Acetyltransferase
P30897	Class A Beta-Lactamase
P30898	Class A Beta-Lactamase
P30899	Class A Beta-Lactamase
P31141	Chloramphenicol MFS Efflux Pump
P37321	Class A Beta-Lactamase
P39886	MFS Antibiotic Efflux
P42334	ABC Antibiotic Efflux
P42670	Puromycin Resistance
P43433	rRNA Methyltransferase
P45439	rRNA Methyltransferase
P49417	Chloramphenicol Acetyltransferase CAT
P50870	Streptogramin Resistance
P51563	Tetracycline Efflux
P52391	rRNA Methyltransferase
P52393	rRNA Methyltransferase
P52663	Class A Beta-Lactamase
P52664	Class A Beta-Lactamase
P52682	Class A Beta-Lactamase
P52699	Class B Beta-Lactamase
P60865	Other ARG
P72533	Tetracycline Ribosomal Protection
P78218	Antibiotic Target
P96712	MFS Antibiotic Efflux
PC1_0	Class A Beta-Lactamase
Q00014	rRNA Methyltransferase
Q00982	Class D Beta-Lactamase
Q00983	Class D Beta-Lactamase
Q01166	Class A Beta-Lactamase
Q01515	Aminoglycoside Acetyltransferase
Q02652	Tetracycline Ribosomal Protection
Q02736	Chloramphenicol Acetyltransferase CAT
Q03377	Other ARG
Q03680	Class D Beta-Lactamase
Q03986	rRNA Methyltransferase
Q06650	Class A Beta-Lactamase
Q06778	Class D Beta-Lactamase
Q07448	Aminoglycoside Nucleotidyltransferase
Q2KX31	Other ARG
Q49157	Aminoglycoside Acetyltransferase
Q52424	Aminoglycoside Acetyltransferase
Q55002	Tetracycline Ribosomal Protection
Q56415	Other ARG
Q59408	Antibiotic Target
Q59517	Class A Beta-Lactamase
Q8CXK5	Other ARG
Q93A44	Glycopeptide Resistance
Q9X3P3	Glycopeptide Resistance
RNDAntibioticEffluxPump_0	RND Antibiotic Efflux
RNDAntibioticEffluxPump_1	RND Antibiotic Efflux
RNDAntibioticEffluxPump_10	RND Antibiotic Efflux
RNDAntibioticEffluxPump_11	RND Antibiotic Efflux
RNDAntibioticEffluxPump_12	RND Antibiotic Efflux
RNDAntibioticEffluxPump_13	RND Antibiotic Efflux
RNDAntibioticEffluxPump_14	RND Antibiotic Efflux
RNDAntibioticEffluxPump_2	RND Antibiotic Efflux
RNDAntibioticEffluxPump_3	RND Antibiotic Efflux
RNDAntibioticEffluxPump_4	RND Antibiotic Efflux
RNDAntibioticEffluxPump_5	RND Antibiotic Efflux
RNDAntibioticEffluxPump_7	RND Antibiotic Efflux
RNDAntibioticEffluxPump_9	RND Antibiotic Efflux
SPM_0	Class B Beta-Lactamase
Sfh_0	Class B Beta-Lactamase
SubclassB1_0	Class B Beta-Lactamase
SubclassB1_102	Class B Beta-Lactamase
SubclassB1_133	Class B Beta-Lactamase
SubclassB1_136	Class B Beta-Lactamase
SubclassB1_149	Class B Beta-Lactamase
SubclassB1_151	Class B Beta-Lactamase
SubclassB1_156	Class B Beta-Lactamase
SubclassB1_16	Class B Beta-Lactamase
SubclassB1_167	Class B Beta-Lactamase
SubclassB1_172	Class B Beta-Lactamase
SubclassB1_181	Class B Beta-Lactamase
SubclassB1_205	Class B Beta-Lactamase
SubclassB1_232	Class B Beta-Lactamase
SubclassB1_238	Class B Beta-Lactamase
SubclassB1_244	Class B Beta-Lactamase
SubclassB1_257	Class B Beta-Lactamase
SubclassB1_259	Class B Beta-Lactamase
SubclassB1_260	Class B Beta-Lactamase
SubclassB1_261	Class B Beta-Lactamase
SubclassB1_264	Class B Beta-Lactamase
SubclassB1_270	Class B Beta-Lactamase
SubclassB1_271	Class B Beta-Lactamase
SubclassB1_279	Class B Beta-Lactamase
SubclassB1_281	Class B Beta-Lactamase
SubclassB1_3	Class B Beta-Lactamase
SubclassB1_306	Class B Beta-Lactamase
SubclassB1_38	Class B Beta-Lactamase
SubclassB1_54	Class B Beta-Lactamase
SubclassB1_55	Class B Beta-Lactamase
SubclassB1_58	Class B Beta-Lactamase
SubclassB1_6	Class B Beta-Lactamase
SubclassB1_7	Class B Beta-Lactamase
SubclassB1_8	Class B Beta-Lactamase
SubclassB1_9	Class B Beta-Lactamase
SubclassB1_99	Class B Beta-Lactamase
SubclassB2_13	Class B Beta-Lactamase
SubclassB2_24	Class B Beta-Lactamase
SubclassB3_101	Class B Beta-Lactamase
SubclassB3_103	Class B Beta-Lactamase
SubclassB3_104	Class B Beta-Lactamase
SubclassB3_105	Class B Beta-Lactamase
SubclassB3_108	Class B Beta-Lactamase
SubclassB3_109	Class B Beta-Lactamase
SubclassB3_110	Class B Beta-Lactamase
SubclassB3_111	Class B Beta-Lactamase
SubclassB3_112	Class B Beta-Lactamase
SubclassB3_113	Class B Beta-Lactamase
SubclassB3_114	Class B Beta-Lactamase
SubclassB3_115	Class B Beta-Lactamase
SubclassB3_116	Class B Beta-Lactamase
SubclassB3_117	Class B Beta-Lactamase
SubclassB3_120	Class B Beta-Lactamase
SubclassB3_121	Class B Beta-Lactamase
SubclassB3_123	Class B Beta-Lactamase
SubclassB3_124	Class B Beta-Lactamase
SubclassB3_125	Class B Beta-Lactamase
SubclassB3_126	Class B Beta-Lactamase
SubclassB3_127	Class B Beta-Lactamase
SubclassB3_129	Class B Beta-Lactamase
SubclassB3_131	Class B Beta-Lactamase
SubclassB3_132	Class B Beta-Lactamase
SubclassB3_133	Class B Beta-Lactamase
SubclassB3_134	Class B Beta-Lactamase
SubclassB3_137	Class B Beta-Lactamase
SubclassB3_164	Class B Beta-Lactamase
SubclassB3_3	Class B Beta-Lactamase
SubclassB3_5	Class B Beta-Lactamase
SubclassB3_66	Class B Beta-Lactamase
SubclassB3_67	Class B Beta-Lactamase
SubclassB3_69	Class B Beta-Lactamase
SubclassB3_70	Class B Beta-Lactamase
SubclassB3_81	Class B Beta-Lactamase
SubclassB3_84	Class B Beta-Lactamase
SubclassB3_86	Class B Beta-Lactamase
SubclassB3_96	Class B Beta-Lactamase
SubclassB3_99	Class B Beta-Lactamase
T44117	Gene Modulating Resistance
TEM_137	Class A Beta-Lactamase
TetX_1	Tetracycline Inactivation
Tetracycline_Resistance_MFS_Efflux_Pump_10	Tetracycline Ribosomal Protection
Tetracycline_Resistance_MFS_Efflux_Pump_14	Tetracycline Ribosomal Protection
Tetracycline_Resistance_MFS_Efflux_Pump_19	Tetracycline Ribosomal Protection
Tetracycline_Resistance_Ribosomal_Protection_Protein_9	Tetracycline Ribosomal Protection
WblE_0	Gene Modulating Resistance
WhiB2_1	Gene Modulating Resistance
YP_001005900	MFS Antibiotic Efflux
YP_001007284	RND Antibiotic Efflux
YP_001020242	Other ARG
YP_001031495	MFS Antibiotic Efflux
YP_001038094	Streptogramin Resistance
YP_001066168	RND Antibiotic Efflux
YP_001068559	Aminoglycoside Acetyltransferase
YP_001089504	Other ARG
YP_001096238	Tetracycline Efflux
YP_001096294	ABC Antibiotic Efflux
YP_001096379	Aminoglycoside Phosphotransferase
YP_001101962	Class C Beta-Lactamase
YP_001102018	Aminoglycoside Acetyltransferase
YP_001103000	rRNA Methyltransferase
YP_001124322	Other ARG
YP_001126889	Other ARG
YP_001140148	Other ARG
YP_001141049	Class C Beta-Lactamase
YP_001144056	Tetracycline Efflux
YP_001144149	Chloramphenicol Acetyltransferase CAT
YP_001155044	Other ARG
YP_001172713	Other ARG
YP_001175678	RND Antibiotic Efflux
YP_001177494	MFS Antibiotic Efflux
YP_001186705	RND Antibiotic Efflux
YP_001187667	Other ARG
YP_001187672	RND Antibiotic Efflux
YP_001220608	Tetracycline Efflux
YP_001252958	Other ARG
YP_001266290	RND Antibiotic Efflux
YP_001308137	Other ARG
YP_001334578	ABC Antibiotic Efflux
YP_001345920	RND Antibiotic Efflux
YP_001348697	Other ARG
YP_001373621	ABC Antibiotic Efflux
YP_001374841	Other ARG
YP_001389621	Streptogramin Resistance
YP_001395695	Other ARG
YP_001396002	MFS Antibiotic Efflux
YP_001416709	Other ARG
YP_001420711	Other ARG
YP_001420884	SMR Antibiotic Efflux
YP_001420885	SMR Antibiotic Efflux
YP_001422387	Other ARG
YP_001434323	Other ARG
YP_001436507	RND Antibiotic Efflux
YP_001437965	Class C Beta-Lactamase
YP_001438116	MFS Antibiotic Efflux
YP_001438541	ABC Antibiotic Efflux
YP_001438873	RND Antibiotic Efflux
YP_001451669	MFS Antibiotic Efflux
YP_001457897	MFS Antibiotic Efflux
YP_001468286	Quinolone Resistance
YP_001477377	MFS Antibiotic Efflux
YP_001477378	MFS Antibiotic Efflux
YP_001478290	Quinolone Resistance
YP_001478502	Class C Beta-Lactamase
YP_001480516	Other ARG
YP_001486998	MFS Antibiotic Efflux
YP_001487997	Other ARG
YP_001527590	Other ARG
YP_001563294	Other ARG
YP_001572363	RND Antibiotic Efflux
YP_001598107	Tetracycline Efflux
YP_001616633	Other ARG
YP_001644752	Other ARG
YP_001668663	RND Antibiotic Efflux
YP_001694417	MFS Antibiotic Efflux
YP_001696597	Other ARG
YP_001700011	Other ARG
YP_001713702	RND Antibiotic Efflux
YP_001713703	RND Antibiotic Efflux
YP_001713704	RND Antibiotic Efflux
YP_001715353	Antibiotic Target
YP_001715362	Class A Beta-Lactamase
YP_001764893	RND Antibiotic Efflux
YP_001797193	Other ARG
YP_001798653	Tetracycline Ribosomal Protection
YP_001812918	Other ARG
YP_001816601	Antibiotic Target
YP_001821804	Aminoglycoside Acetyltransferase
YP_001826640	MFS Antibiotic Efflux
YP_001834888	Tetracycline Ribosomal Protection
YP_001836040	rRNA Methyltransferase
YP_001844878	Aminoglycoside Phosphotransferase
YP_001896735	Other ARG
YP_001906372	Other ARG
YP_001921729	Other ARG
YP_001928076	Class D Beta-Lactamase
YP_001965484	Aminoglycoside Nucleotidyltransferase
YP_001965795	Chloramphenicol Acetyltransferase CAT
YP_001966009	Tetracycline Efflux
YP_001967743	Tetracycline Ribosomal Protection
YP_001969930	Antibiotic Target
YP_002040143	ABC Antibiotic Efflux
YP_002115369	Other ARG
